Order_no,Customer_name,City,State,Postal_code,Country
10172,Gift Depot Inc.,Bridgewater,CT,97562,USA
10182,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10192,Online Diecast Creations Co.,Nashua,NH,62005,USA
10204,Muscle Machine Inc,NYC,NY,10022,USA
10212,Euro Shopping Channel,Madrid,,28034,Spain
10227,"Saveley & Henriot, Co.",Lyon,,69004,France
10241,Mini Caravy,Strasbourg,,67000,France
10267,Muscle Machine Inc,NYC,NY,10022,USA
10279,Euro Shopping Channel,Madrid,,28034,Spain
10288,Handji Gifts& Co,Singapore,,69045,Singapore
10302,"UK Collectables, Ltd.",Liverpool,,WX1 6LT,UK
10311,Euro Shopping Channel,Madrid,,28034,Spain
10321,FunGiftIdeas.com,New Bedford,MA,50553,USA
10332,"AV Stores, Co.",Manchester,,EC2 5NT,UK
10346,Signal Gift Stores,Las Vegas,NV,83030,USA
10368,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10380,Euro Shopping Channel,Madrid,,28034,Spain
10407,The Sharp Gifts Warehouse,San Jose,CA,94217,USA
10420,Souveniers And Things Co.,Chatswood,NSW,2067,Australia
10108,Cruz & Sons Co.,Makati City,,1227 MM,Philippines
10122,Marseille Mini Autos,Marseille,,13008,France
10135,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10147,Collectables For Less Inc.,Brickhaven,MA,58339,USA
10159,Corporate Gift Ideas Co.,San Francisco,CA,,USA
10169,"Anna's Decorations, Ltd",North Sydney,NSW,2060,Australia
10181,Herkku Gifts,Bergen,,N 5804,Norway
10191,"Toms Spezialitten, Ltd",Koln,,50739,Germany
10203,Euro Shopping Channel,Madrid,,28034,Spain
10211,Auto Canal Petit,Paris,,75016,France
10225,"Vida Sport, Ltd",Gensve,,1203,Switzerland
10238,Danish Wholesale Imports,Kobenhavn,,1734,Denmark
10253,"UK Collectables, Ltd.",Liverpool,,WX1 6LT,UK
10266,L'ordine Souveniers,Reggio Emilia,,42100,Italy
10276,Online Mini Collectables,Brickhaven,MA,58339,USA
10287,"Vida Sport, Ltd",Gensve,,1203,Switzerland
10300,"Blauer See Auto, Co.",Frankfurt,,60528,Germany
10310,"Toms Spezialitten, Ltd",Koln,,50739,Germany
10320,"Volvo Model Replicas, Co",Lule,,S-958 22,Sweden
10331,Motor Mint Distributors Inc.,Philadelphia,PA,71270,USA
10342,"Australian Collectors, Co.",Melbourne,Victoria,3004,Australia
10355,Euro Shopping Channel,Madrid,,28034,Spain
10363,Suominen Souveniers,Espoo,,FIN-02271,Finland
10378,Euro Shopping Channel,Madrid,,28034,Spain
10390,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10419,Salzburg Collectables,Salzburg,,5020,Austria
10106,Rovelli Gifts,Bergamo,,24100,Italy
10119,Salzburg Collectables,Salzburg,,5020,Austria
10131,Gift Ideas Corp.,Glendale,CT,97561,USA
10143,Mini Creations Ltd.,New Bedford,MA,50553,USA
10155,"Toys of Finland, Co.",Helsinki,,21240,Finland
10167,Scandinavian Gift Ideas,Boras,,S-844 67,Sweden
10178,Alpha Cognac,Toulouse,,31000,France
10186,"Double Decker Gift Stores, Ltd",London,,WA1 1DP,UK
10198,Cruz & Sons Co.,Makati City,,1227 MM,Philippines
10209,"Men 'R' US Retailers, Ltd.",Los Angeles,CA,,USA
10222,Collectable Mini Designs Co.,San Diego,CA,91217,USA
10249,Cambridge Collectables Co.,Cambridge,MA,51247,USA
10262,Euro Shopping Channel,Madrid,,28034,Spain
10274,Collectables For Less Inc.,Brickhaven,MA,58339,USA
10284,"Norway Gifts By Mail, Co.",Oslo,,N 0106,Norway
10296,"Bavarian Collectables Imports, Co.",Munich,,80686,Germany
10307,"Classic Gift Ideas, Inc",Philadelphia,PA,71270,USA
10316,giftsbymail.co.uk,Cowes,Isle of Wight,PO31 7PJ,UK
10328,Rovelli Gifts,Bergamo,,24100,Italy
10339,"Tokyo Collectables, Ltd",Minato-ku,Tokyo,106-0032,Japan
10351,"Stylish Desk Decors, Co.",London,,WX3 6FW,UK
10361,Souveniers And Things Co.,Chatswood,NSW,2067,Australia
10373,"Oulu Toy Supplies, Inc.",Oulu,,90110,Finland
10386,Euro Shopping Channel,Madrid,,28034,Spain
10398,Reims Collectables,Reims,,51100,France
10400,The Sharp Gifts Warehouse,San Jose,CA,94217,USA
10415,"Australian Collectables, Ltd",Glen Waverly,Victoria,3150,Australia
10110,"AV Stores, Co.",Manchester,,EC2 5NT,UK
10124,Signal Gift Stores,Las Vegas,NV,83030,USA
10148,"Anna's Decorations, Ltd",North Sydney,NSW,2060,Australia
10161,Heintze Collectables,Aaarhus,,8200,Denmark
10172,Gift Depot Inc.,Bridgewater,CT,97562,USA
10182,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10192,Online Diecast Creations Co.,Nashua,NH,62005,USA
10204,Muscle Machine Inc,NYC,NY,10022,USA
10212,Euro Shopping Channel,Madrid,,28034,Spain
10226,Collectable Mini Designs Co.,San Diego,CA,91217,USA
10241,Mini Caravy,Strasbourg,,67000,France
10267,Muscle Machine Inc,NYC,NY,10022,USA
10279,Euro Shopping Channel,Madrid,,28034,Spain
10288,Handji Gifts& Co,Singapore,,69045,Singapore
10301,"Norway Gifts By Mail, Co.",Oslo,,N 0106,Norway
10311,Euro Shopping Channel,Madrid,,28034,Spain
10321,FunGiftIdeas.com,New Bedford,MA,50553,USA
10332,"AV Stores, Co.",Manchester,,EC2 5NT,UK
10346,Signal Gift Stores,Las Vegas,NV,83030,USA
10368,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10380,Euro Shopping Channel,Madrid,,28034,Spain
10407,The Sharp Gifts Warehouse,San Jose,CA,94217,USA
10420,Souveniers And Things Co.,Chatswood,NSW,2067,Australia
10105,Danish Wholesale Imports,Kobenhavn,,1734,Denmark
10119,Salzburg Collectables,Salzburg,,5020,Austria
10129,"Stylish Desk Decors, Co.",London,,WX3 6FW,UK
10143,Mini Creations Ltd.,New Bedford,MA,50553,USA
10155,"Toys of Finland, Co.",Helsinki,,21240,Finland
10167,Scandinavian Gift Ideas,Boras,,S-844 67,Sweden
10178,Alpha Cognac,Toulouse,,31000,France
10186,"Double Decker Gift Stores, Ltd",London,,WA1 1DP,UK
10197,Enaco Distributors,Barcelona,,8022,Spain
10209,"Men 'R' US Retailers, Ltd.",Los Angeles,CA,,USA
10222,Collectable Mini Designs Co.,San Diego,CA,91217,USA
10248,Land of Toys Inc.,NYC,NY,10022,USA
10262,Euro Shopping Channel,Madrid,,28034,Spain
10273,Petit Auto,Bruxelles,,B-1180,Belgium
10283,"Royal Canadian Collectables, Ltd.",Tsawassen,BC,T2F 8M4,Canada
10296,"Bavarian Collectables Imports, Co.",Munich,,80686,Germany
10307,"Classic Gift Ideas, Inc",Philadelphia,PA,71270,USA
10316,giftsbymail.co.uk,Cowes,Isle of Wight,PO31 7PJ,UK
10326,"Volvo Model Replicas, Co",Lule,,S-958 22,Sweden
10339,"Tokyo Collectables, Ltd",Minato-ku,Tokyo,106-0032,Japan
10350,Euro Shopping Channel,Madrid,,28034,Spain
10373,"Oulu Toy Supplies, Inc.",Oulu,,90110,Finland
10385,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10396,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10400,The Sharp Gifts Warehouse,San Jose,CA,94217,USA
10414,Gifts4AllAges.com,Boston,MA,51003,USA
10108,Cruz & Sons Co.,Makati City,,1227 MM,Philippines
10122,Marseille Mini Autos,Marseille,,13008,France
10135,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10147,Collectables For Less Inc.,Brickhaven,MA,58339,USA
10160,"Men 'R' US Retailers, Ltd.",Los Angeles,CA,,USA
10170,Mini Auto Werke,Graz,,8010,Austria
10181,Herkku Gifts,Bergen,,N 5804,Norway
10192,Online Diecast Creations Co.,Nashua,NH,62005,USA
10203,Euro Shopping Channel,Madrid,,28034,Spain
10212,Euro Shopping Channel,Madrid,,28034,Spain
10225,"Vida Sport, Ltd",Gensve,,1203,Switzerland
10239,"Oulu Toy Supplies, Inc.",Oulu,,90110,Finland
10253,"UK Collectables, Ltd.",Liverpool,,WX1 6LT,UK
10266,L'ordine Souveniers,Reggio Emilia,,42100,Italy
10278,Signal Gift Stores,Las Vegas,NV,83030,USA
10287,"Vida Sport, Ltd",Gensve,,1203,Switzerland
10301,"Norway Gifts By Mail, Co.",Oslo,,N 0106,Norway
10310,"Toms Spezialitten, Ltd",Koln,,50739,Germany
10321,FunGiftIdeas.com,New Bedford,MA,50553,USA
10331,Motor Mint Distributors Inc.,Philadelphia,PA,71270,USA
10342,"Australian Collectors, Co.",Melbourne,Victoria,3004,Australia
10355,Euro Shopping Channel,Madrid,,28034,Spain
10363,Suominen Souveniers,Espoo,,FIN-02271,Finland
10378,Euro Shopping Channel,Madrid,,28034,Spain
10390,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10405,Mini Caravy,Strasbourg,,67000,France
10419,Salzburg Collectables,Salzburg,,5020,Austria
10106,Rovelli Gifts,Bergamo,,24100,Italy
10119,Salzburg Collectables,Salzburg,,5020,Austria
10131,Gift Ideas Corp.,Glendale,CT,97561,USA
10143,Mini Creations Ltd.,New Bedford,MA,50553,USA
10155,"Toys of Finland, Co.",Helsinki,,21240,Finland
10168,Technics Stores Inc.,Burlingame,CA,94217,USA
10178,Alpha Cognac,Toulouse,,31000,France
10198,Cruz & Sons Co.,Makati City,,1227 MM,Philippines
10210,Osaka Souveniers Co.,Osaka,Osaka,530-0003,Japan
10222,Collectable Mini Designs Co.,San Diego,CA,91217,USA
10235,"Royal Canadian Collectables, Ltd.",Tsawassen,BC,T2F 8M4,Canada
10250,The Sharp Gifts Warehouse,San Jose,CA,94217,USA
10262,Euro Shopping Channel,Madrid,,28034,Spain
10275,La Rochelle Gifts,Nantes,,44000,France
10284,"Norway Gifts By Mail, Co.",Oslo,,N 0106,Norway
10296,"Bavarian Collectables Imports, Co.",Munich,,80686,Germany
10308,Mini Classics,White Plains,NY,24067,USA
10316,giftsbymail.co.uk,Cowes,Isle of Wight,PO31 7PJ,UK
10328,Rovelli Gifts,Bergamo,,24100,Italy
10339,"Tokyo Collectables, Ltd",Minato-ku,Tokyo,106-0032,Japan
10351,"Stylish Desk Decors, Co.",London,,WX3 6FW,UK
10361,Souveniers And Things Co.,Chatswood,NSW,2067,Australia
10373,"Oulu Toy Supplies, Inc.",Oulu,,90110,Finland
10386,Euro Shopping Channel,Madrid,,28034,Spain
10398,Reims Collectables,Reims,,51100,France
10401,Tekni Collectables Inc.,Newark,NJ,94019,USA
10416,L'ordine Souveniers,Reggio Emilia,,42100,Italy
10100,Online Diecast Creations Co.,Nashua,NH,62005,USA
10110,"AV Stores, Co.",Manchester,,EC2 5NT,UK
10124,Signal Gift Stores,Las Vegas,NV,83030,USA
10149,Signal Collectibles Ltd.,Brisbane,CA,94217,USA
10162,Corporate Gift Ideas Co.,San Francisco,CA,,USA
10173,Rovelli Gifts,Bergamo,,24100,Italy
10182,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10193,"Australian Collectables, Ltd",Glen Waverly,Victoria,3150,Australia
10204,Muscle Machine Inc,NYC,NY,10022,USA
10214,"Corrida Auto Replicas, Ltd",Madrid,,28023,Spain
10227,"Saveley & Henriot, Co.",Lyon,,69004,France
10242,Microscale Inc.,NYC,NY,10022,USA
10280,Amica Models & Co.,Torino,,10100,Italy
10288,Handji Gifts& Co,Singapore,,69045,Singapore
10303,"Iberia Gift Imports, Corp.",Sevilla,,41101,Spain
10312,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10332,"AV Stores, Co.",Manchester,,EC2 5NT,UK
10346,Signal Gift Stores,Las Vegas,NV,83030,USA
10368,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10380,Euro Shopping Channel,Madrid,,28034,Spain
10408,"Tokyo Collectables, Ltd",Minato-ku,Tokyo,106-0032,Japan
10420,Souveniers And Things Co.,Chatswood,NSW,2067,Australia
10104,Euro Shopping Channel,Madrid,,28034,Spain
10115,Classic Legends Inc.,NYC,NY,10022,USA
10127,Muscle Machine Inc,NYC,NY,10022,USA
10141,Suominen Souveniers,Espoo,,FIN-02271,Finland
10152,"Australian Gift Network, Co",South Brisbane,Queensland,4101,Australia
10165,"Dragon Souveniers, Ltd.",Singapore,,79903,Singapore
10176,L'ordine Souveniers,Reggio Emilia,,42100,Italy
10184,"Iberia Gift Imports, Corp.",Sevilla,,41101,Spain
10195,Mini Classics,White Plains,NY,24067,USA
10207,Diecast Collectables,Boston,MA,51003,USA
10220,"Clover Collections, Co.",Dublin,,2,Ireland
10230,"Blauer See Auto, Co.",Frankfurt,,60528,Germany
10246,Euro Shopping Channel,Madrid,,28034,Spain
10271,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10282,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10292,Land of Toys Inc.,NYC,NY,10022,USA
10305,Marta's Replicas Co.,Cambridge,MA,51247,USA
10314,Heintze Collectables,Aaarhus,,8200,Denmark
10325,Baane Mini Imports,Stavern,,4110,Norway
10336,"La Corne D'abondance, Co.",Paris,,75012,France
10349,Muscle Machine Inc,NYC,NY,10022,USA
10359,Reims Collectables,Reims,,51100,France
10371,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10383,Euro Shopping Channel,Madrid,,28034,Spain
10394,Euro Shopping Channel,Madrid,,28034,Spain
10412,Euro Shopping Channel,Madrid,,28034,Spain
10103,Baane Mini Imports,Stavern,,4110,Norway
10111,Mini Wheels Co.,San Francisco,CA,,USA
10126,"Corrida Auto Replicas, Ltd",Madrid,,28023,Spain
10139,Souveniers And Things Co.,Chatswood,NSW,2067,Australia
10149,Signal Collectibles Ltd.,Brisbane,CA,94217,USA
10163,Classic Legends Inc.,NYC,NY,10022,USA
10173,Rovelli Gifts,Bergamo,,24100,Italy
10183,"Classic Gift Ideas, Inc",Philadelphia,PA,71270,USA
10193,"Australian Collectables, Ltd",Glen Waverly,Victoria,3150,Australia
10206,Canadian Gift Exchange Network,Vancouver,BC,V3F 2K1,Canada
10215,West Coast Collectables Co.,Burbank,CA,94019,USA
10228,Cambridge Collectables Co.,Cambridge,MA,51247,USA
10244,Euro Shopping Channel,Madrid,,28034,Spain
10257,The Sharp Gifts Warehouse,San Jose,CA,94217,USA
10269,Salzburg Collectables,Salzburg,,5020,Austria
10280,Amica Models & Co.,Torino,,10100,Italy
10290,Auto-Moto Classics Inc.,Brickhaven,MA,58339,USA
10304,Auto Assoc. & Cie.,Versailles,,78000,France
10312,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10324,Vitachrome Inc.,NYC,NY,10022,USA
10333,Mini Wheels Co.,San Francisco,CA,,USA
10348,"Corrida Auto Replicas, Ltd",Madrid,,28023,Spain
10358,Euro Shopping Channel,Madrid,,28034,Spain
10369,Collectables For Less Inc.,Brickhaven,MA,58339,USA
10382,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10423,Petit Auto,Bruxelles,,B-1180,Belgium
10106,Rovelli Gifts,Bergamo,,24100,Italy
10120,"Australian Collectors, Co.",Melbourne,Victoria,3004,Australia
10133,Euro Shopping Channel,Madrid,,28034,Spain
10145,Toys4GrownUps.com,Pasadena,CA,90003,USA
10168,Technics Stores Inc.,Burlingame,CA,94217,USA
10210,Osaka Souveniers Co.,Osaka,Osaka,530-0003,Japan
10223,"Australian Collectors, Co.",Melbourne,Victoria,3004,Australia
10235,"Royal Canadian Collectables, Ltd.",Tsawassen,BC,T2F 8M4,Canada
10250,The Sharp Gifts Warehouse,San Jose,CA,94217,USA
10263,Gift Depot Inc.,Bridgewater,CT,97562,USA
10275,La Rochelle Gifts,Nantes,,44000,France
10284,"Norway Gifts By Mail, Co.",Oslo,,N 0106,Norway
10297,"Clover Collections, Co.",Dublin,,2,Ireland
10308,Mini Classics,White Plains,NY,24067,USA
10317,Technics Stores Inc.,Burlingame,CA,94217,USA
10328,Rovelli Gifts,Bergamo,,24100,Italy
10340,Enaco Distributors,Barcelona,,8022,Spain
10353,Gift Ideas Corp.,Glendale,CT,97561,USA
10361,Souveniers And Things Co.,Chatswood,NSW,2067,Australia
10375,La Rochelle Gifts,Nantes,,44000,France
10386,Euro Shopping Channel,Madrid,,28034,Spain
10398,Reims Collectables,Reims,,51100,France
10401,Tekni Collectables Inc.,Newark,NJ,94019,USA
10416,L'ordine Souveniers,Reggio Emilia,,42100,Italy
10108,Cruz & Sons Co.,Makati City,,1227 MM,Philippines
10122,Marseille Mini Autos,Marseille,,13008,France
10135,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10147,Collectables For Less Inc.,Brickhaven,MA,58339,USA
10159,Corporate Gift Ideas Co.,San Francisco,CA,,USA
10169,"Anna's Decorations, Ltd",North Sydney,NSW,2060,Australia
10180,Daedalus Designs Imports,Lille,,59000,France
10191,"Toms Spezialitten, Ltd",Koln,,50739,Germany
10211,Auto Canal Petit,Paris,,75016,France
10225,"Vida Sport, Ltd",Gensve,,1203,Switzerland
10238,Danish Wholesale Imports,Kobenhavn,,1734,Denmark
10252,Auto Canal Petit,Paris,,75016,France
10264,Gifts4AllAges.com,Boston,MA,51003,USA
10276,Online Mini Collectables,Brickhaven,MA,58339,USA
10287,"Vida Sport, Ltd",Gensve,,1203,Switzerland
10299,"Toys of Finland, Co.",Helsinki,,21240,Finland
10310,"Toms Spezialitten, Ltd",Koln,,50739,Germany
10319,Microscale Inc.,NYC,NY,10022,USA
10331,Motor Mint Distributors Inc.,Philadelphia,PA,71270,USA
10343,Reims Collectables,Reims,,51100,France
10355,Euro Shopping Channel,Madrid,,28034,Spain
10363,Suominen Souveniers,Espoo,,FIN-02271,Finland
10378,Euro Shopping Channel,Madrid,,28034,Spain
10390,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10103,Baane Mini Imports,Stavern,,4110,Norway
10114,"La Corne D'abondance, Co.",Paris,,75012,France
10126,"Corrida Auto Replicas, Ltd",Madrid,,28023,Spain
10140,Technics Stores Inc.,Burlingame,CA,94217,USA
10151,"Oulu Toy Supplies, Inc.",Oulu,,90110,Finland
10164,Mini Auto Werke,Graz,,8010,Austria
10175,"Stylish Desk Decors, Co.",London,,WX3 6FW,UK
10184,"Iberia Gift Imports, Corp.",Sevilla,,41101,Spain
10194,"Saveley & Henriot, Co.",Lyon,,69004,France
10207,Diecast Collectables,Boston,MA,51003,USA
10217,Handji Gifts& Co,Singapore,,69045,Singapore
10229,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10245,Super Scale Inc.,New Haven,CT,97823,USA
10259,Handji Gifts& Co,Singapore,,69045,Singapore
10270,Souveniers And Things Co.,Chatswood,NSW,2067,Australia
10281,Diecast Classics Inc.,Allentown,PA,70267,USA
10291,Scandinavian Gift Ideas,Boras,,S-844 67,Sweden
10305,Marta's Replicas Co.,Cambridge,MA,51247,USA
10313,Canadian Gift Exchange Network,Vancouver,BC,V3F 2K1,Canada
10324,Vitachrome Inc.,NYC,NY,10022,USA
10335,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10348,"Corrida Auto Replicas, Ltd",Madrid,,28023,Spain
10358,Euro Shopping Channel,Madrid,,28034,Spain
10371,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10382,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10411,Quebec Home Shopping Network,Montreal,Quebec,H1J 1C3,Canada
10425,La Rochelle Gifts,Nantes,,44000,France
10107,Land of Toys Inc.,NYC,NY,10022,USA
10120,"Australian Collectors, Co.",Melbourne,Victoria,3004,Australia
10133,Euro Shopping Channel,Madrid,,28034,Spain
10145,Toys4GrownUps.com,Pasadena,CA,90003,USA
10168,Technics Stores Inc.,Burlingame,CA,94217,USA
10188,Herkku Gifts,Bergen,,N 5804,Norway
10210,Osaka Souveniers Co.,Osaka,Osaka,530-0003,Japan
10223,"Australian Collectors, Co.",Melbourne,Victoria,3004,Australia
10235,"Royal Canadian Collectables, Ltd.",Tsawassen,BC,T2F 8M4,Canada
10250,The Sharp Gifts Warehouse,San Jose,CA,94217,USA
10263,Gift Depot Inc.,Bridgewater,CT,97562,USA
10275,La Rochelle Gifts,Nantes,,44000,France
10285,Marta's Replicas Co.,Cambridge,MA,51247,USA
10297,"Clover Collections, Co.",Dublin,,2,Ireland
10308,Mini Classics,White Plains,NY,24067,USA
10318,Diecast Classics Inc.,Allentown,PA,70267,USA
10329,Land of Toys Inc.,NYC,NY,10022,USA
10340,Enaco Distributors,Barcelona,,8022,Spain
10353,Gift Ideas Corp.,Glendale,CT,97561,USA
10363,Suominen Souveniers,Espoo,,FIN-02271,Finland
10375,La Rochelle Gifts,Nantes,,44000,France
10387,"Dragon Souveniers, Ltd.",Singapore,,79903,Singapore
10401,Tekni Collectables Inc.,Newark,NJ,94019,USA
10416,L'ordine Souveniers,Reggio Emilia,,42100,Italy
10108,Cruz & Sons Co.,Makati City,,1227 MM,Philippines
10122,Marseille Mini Autos,Marseille,,13008,France
10135,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10145,Toys4GrownUps.com,Pasadena,CA,90003,USA
10159,Corporate Gift Ideas Co.,San Francisco,CA,,USA
10169,"Anna's Decorations, Ltd",North Sydney,NSW,2060,Australia
10180,Daedalus Designs Imports,Lille,,59000,France
10190,Euro Shopping Channel,Madrid,,28034,Spain
10211,Auto Canal Petit,Paris,,75016,France
10224,Daedalus Designs Imports,Lille,,59000,France
10237,Vitachrome Inc.,NYC,NY,10022,USA
10252,Auto Canal Petit,Paris,,75016,France
10264,Gifts4AllAges.com,Boston,MA,51003,USA
10276,Online Mini Collectables,Brickhaven,MA,58339,USA
10285,Marta's Replicas Co.,Cambridge,MA,51247,USA
10299,"Toys of Finland, Co.",Helsinki,,21240,Finland
10310,"Toms Spezialitten, Ltd",Koln,,50739,Germany
10319,Microscale Inc.,NYC,NY,10022,USA
10331,Motor Mint Distributors Inc.,Philadelphia,PA,71270,USA
10343,Reims Collectables,Reims,,51100,France
10355,Euro Shopping Channel,Madrid,,28034,Spain
10364,Marseille Mini Autos,Marseille,,13008,France
10378,Euro Shopping Channel,Madrid,,28034,Spain
10390,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10403,"UK Collectables, Ltd.",Liverpool,,WX1 6LT,UK
10104,Euro Shopping Channel,Madrid,,28034,Spain
10114,"La Corne D'abondance, Co.",Paris,,75012,France
10127,Muscle Machine Inc,NYC,NY,10022,USA
10141,Suominen Souveniers,Espoo,,FIN-02271,Finland
10151,"Oulu Toy Supplies, Inc.",Oulu,,90110,Finland
10165,"Dragon Souveniers, Ltd.",Singapore,,79903,Singapore
10175,"Stylish Desk Decors, Co.",London,,WX3 6FW,UK
10184,"Iberia Gift Imports, Corp.",Sevilla,,41101,Spain
10195,Mini Classics,White Plains,NY,24067,USA
10207,Diecast Collectables,Boston,MA,51003,USA
10219,Signal Collectibles Ltd.,Brisbane,CA,94217,USA
10229,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10246,Euro Shopping Channel,Madrid,,28034,Spain
10259,Handji Gifts& Co,Singapore,,69045,Singapore
10271,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10281,Diecast Classics Inc.,Allentown,PA,70267,USA
10292,Land of Toys Inc.,NYC,NY,10022,USA
10305,Marta's Replicas Co.,Cambridge,MA,51247,USA
10313,Canadian Gift Exchange Network,Vancouver,BC,V3F 2K1,Canada
10325,Baane Mini Imports,Stavern,,4110,Norway
10335,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10349,Muscle Machine Inc,NYC,NY,10022,USA
10359,Reims Collectables,Reims,,51100,France
10371,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10383,Euro Shopping Channel,Madrid,,28034,Spain
10394,Euro Shopping Channel,Madrid,,28034,Spain
10412,Euro Shopping Channel,Madrid,,28034,Spain
10425,La Rochelle Gifts,Nantes,,44000,France
10104,Euro Shopping Channel,Madrid,,28034,Spain
10116,Royale Belge,Charleroi,,B-6000,Belgium
10127,Muscle Machine Inc,NYC,NY,10022,USA
10142,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10152,"Australian Gift Network, Co",South Brisbane,Queensland,4101,Australia
10165,"Dragon Souveniers, Ltd.",Singapore,,79903,Singapore
10176,L'ordine Souveniers,Reggio Emilia,,42100,Italy
10184,"Iberia Gift Imports, Corp.",Sevilla,,41101,Spain
10195,Mini Classics,White Plains,NY,24067,USA
10207,Diecast Collectables,Boston,MA,51003,USA
10220,"Clover Collections, Co.",Dublin,,2,Ireland
10230,"Blauer See Auto, Co.",Frankfurt,,60528,Germany
10247,Suominen Souveniers,Espoo,,FIN-02271,Finland
10272,Diecast Classics Inc.,Allentown,PA,70267,USA
10282,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10292,Land of Toys Inc.,NYC,NY,10022,USA
10306,"AV Stores, Co.",Manchester,,EC2 5NT,UK
10314,Heintze Collectables,Aaarhus,,8200,Denmark
10325,Baane Mini Imports,Stavern,,4110,Norway
10336,"La Corne D'abondance, Co.",Paris,,75012,France
10350,Euro Shopping Channel,Madrid,,28034,Spain
10359,Reims Collectables,Reims,,51100,France
10371,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10383,Euro Shopping Channel,Madrid,,28034,Spain
10394,Euro Shopping Channel,Madrid,,28034,Spain
10413,Gift Depot Inc.,Bridgewater,CT,97562,USA
10103,Baane Mini Imports,Stavern,,4110,Norway
10113,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10126,"Corrida Auto Replicas, Ltd",Madrid,,28023,Spain
10140,Technics Stores Inc.,Burlingame,CA,94217,USA
10150,"Dragon Souveniers, Ltd.",Singapore,,79903,Singapore
10164,Mini Auto Werke,Graz,,8010,Austria
10175,"Stylish Desk Decors, Co.",London,,WX3 6FW,UK
10183,"Classic Gift Ideas, Inc",Philadelphia,PA,71270,USA
10194,"Saveley & Henriot, Co.",Lyon,,69004,France
10206,Canadian Gift Exchange Network,Vancouver,BC,V3F 2K1,Canada
10217,Handji Gifts& Co,Singapore,,69045,Singapore
10229,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10245,Super Scale Inc.,New Haven,CT,97823,USA
10258,"Tokyo Collectables, Ltd",Minato-ku,Tokyo,106-0032,Japan
10270,Souveniers And Things Co.,Chatswood,NSW,2067,Australia
10281,Diecast Classics Inc.,Allentown,PA,70267,USA
10291,Scandinavian Gift Ideas,Boras,,S-844 67,Sweden
10304,Auto Assoc. & Cie.,Versailles,,78000,France
10313,Canadian Gift Exchange Network,Vancouver,BC,V3F 2K1,Canada
10324,Vitachrome Inc.,NYC,NY,10022,USA
10333,Mini Wheels Co.,San Francisco,CA,,USA
10348,"Corrida Auto Replicas, Ltd",Madrid,,28023,Spain
10358,Euro Shopping Channel,Madrid,,28034,Spain
10370,"Anna's Decorations, Ltd",North Sydney,NSW,2060,Australia
10382,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA
10411,Quebec Home Shopping Network,Montreal,Quebec,H1J 1C3,Canada
10424,Euro Shopping Channel,Madrid,,28034,Spain
10106,Rovelli Gifts,Bergamo,,24100,Italy
10120,"Australian Collectors, Co.",Melbourne,Victoria,3004,Australia
10133,Euro Shopping Channel,Madrid,,28034,Spain
10144,Royale Belge,Charleroi,,B-6000,Belgium
10168,Technics Stores Inc.,Burlingame,CA,94217,USA
10210,Osaka Souveniers Co.,Osaka,Osaka,530-0003,Japan
10223,"Australian Collectors, Co.",Melbourne,Victoria,3004,Australia
